"species","PA_trophic","Stage","Working.Group","Consumer.Strategy","consumer_mobility","classcode","trophic_level"
"Syngnathus",4.22364048,"Adult","Fish","Predator","predator_mobile","SYNG","secondary_consumer"
"Taliepus nuttallii",2.26591643147566,"Adult","small crab","Herbivore","micropredator_mobile","TALNUT","primary_consumer"
"Tegula regina",2,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","TEGREG","primary_consumer"
"Tegula spp",2,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","TEGSPP","primary_consumer"
"Tethya californiana",2.416666667,"Adult","sponge","Filter","predator_sessile","TETCAL","primary_consumer"
"Tetronarce californica",5.862403432,"Adult","Fish","Predator","predator_mobile","TCAL","quarternary_consumer"
"Thylacodes squamigerus",3.925840503,"Adult","Polychaeta- Errantia","Predator","predator_mobile","THYSQU","secondary_consumer"
"Triakis semifasciata",6.14153891462,"Adult","shark","Predator","predator_mobile","TSEM","quarternary_consumer"
"Tubeworm",3.925840503,"Adult","Polychaeta- Errantia","Predator","predator_mobile","TUBEWORM","secondary_consumer"
"Tunicate -Colonial,Compund,Social",3.175,"Adult","compound tunicate","Filter","predator_sessile","COMTUN","primary_consumer"
"Tunicate -Solitary",4.396444855,"Adult","solitary tunicate","Filter","predator_sessile","SOLTUN","secondary_consumer"
"Turbinidae",2,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","MEGSPP","primary_consumer"
"Ulvicola sanctaerosae",4.22364048,"Adult","Fish","Predator","predator_mobile","USAN","secondary_consumer"
"Undaria pinnatifida",1,"Adult","brown algae","Autotroph","autotroph_sessile","UNDPIN","producer"
"Urticina",4.288489387,"Adult","anemone","Predator","predator_sessile","URTSPP","secondary_consumer"
"Urticina columbiana",4.288489387,"Adult","anemone","Predator","predator_sessile","URTCOL","secondary_consumer"
"Urticina columbiana/mcpeaki",4.288489387,"Adult","anemone","Predator","predator_sessile","URTCOLMCP","secondary_consumer"
"Urticina coriacea",4.288489387,"Adult","anemone","Predator","predator_sessile","URTCOR","secondary_consumer"
"Urticina crassicornis",4.288489387,"Adult","anemone","Predator","predator_sessile","URTCRA","secondary_consumer"
"Urticina mcpeaki",4.288489387,"Adult","anemone","Predator","predator_sessile","URTMCP","secondary_consumer"
"Urticina piscivora",4.288489387,"Adult","anemone","Predator","predator_sessile","URTPIS","secondary_consumer"
"Watersipora subtorquata",3.5,"Adult","erect bryozoan","Filter","predator_sessile","WATSUB","secondary_consumer"
"Zalembius rosaceus",3.993812709,"Adult","Fish","Predator","predator_mobile","ZROS","secondary_consumer"
"Zapteryx exasperata",6.514732106,"Adult","shark","Predator","predator_mobile","ZEXA","quarternary_consumer"
